trial,seed,def_x,def_y,def_z,def_vx,def_vy,def_vz,att1_x,att1_y,att1_z,att1_vx,att1_vy,att1_vz
0,0,-0.5411500498314584,-1.4876638147752894,0.03094256316263637,0.0,0.0,0.0,0.8186069020786646,-0.43355650362262965,-1.2840778568588131,0.0,0.0,0.0
1,1,-0.6596356588947919,-1.3948129154523552,0.35541830684584247,0.0,0.0,0.0,-1.439328096366417,0.5720710522416099,0.3286545095336952,0.0,0.0,0.0
2,2,-0.23128564043145952,-1.5617082767758996,0.12049338247094647,0.0,0.0,0.0,1.3254888739380095,-0.3497204377786182,0.792287387824588,0.0,0.0,0.0
3,3,-0.8103447688338534,-1.3597217214856685,-0.0379821034579399,0.0,0.0,0.0,-0.47954796334343147,0.044339269656829154,-1.5083143652630564,0.0,0.0,0.0
4,4,-0.4040626836164836,-1.4222878708048696,0.5663700245505818,0.0,0.0,0.0,-0.5675554322907966,0.4250074366340637,1.4156955726858722,0.0,0.0,0.0
5,5,-0.3131124891367917,-1.533884221058267,-0.23686327274287589,0.0,0.0,0.0,1.3807326677162797,-0.48986838471825217,-0.6004587499521066,0.0,0.0,0.0
6,6,-0.9415537906927042,-1.2320204066453289,0.3202290138027905,0.0,0.0,0.0,-1.3892139770442244,0.518685342298851,-0.5549725093270139,0.0,0.0,0.0
7,7,-0.030968141179906775,-1.5380269307232364,0.37477803969997103,0.0,0.0,0.0,0.761670624355177,-0.013663385337875323,1.3880257981517974,0.0,0.0,0.0
8,8,-0.7281021353344599,-1.359773559815372,-0.35752984628959594,0.0,0.0,0.0,0.373052359635257,-0.19640880701736224,-1.526171668566814,0.0,0.0,0.0
9,9,-0.6517039273820409,-1.2499308815338575,0.7210403781080833,0.0,0.0,0.0,-1.1885303668010063,0.6450012077544802,0.8235978713101182,0.0,0.0,0.0
10,10,0.021420643440549794,-1.5766706788942293,-0.14351017660512047,0.0,0.0,0.0,1.515642280841029,-0.37238813043884966,0.266645834909701,0.0,0.0,0.0
11,11,-1.0877466098895705,-1.1505440393196662,-0.000413157553084994,0.0,0.0,0.0,-0.8957347717665746,0.3268799149187312,-1.2640226201735614,0.0,0.0,0.0
12,12,-0.1008255195798066,-1.4075468285402952,0.7180463665440057,0.0,0.0,0.0,-0.0282052213529901,0.35258619229730054,1.5433184658161614,0.0,0.0,0.0
13,13,-0.39762452888165545,-1.433155681396712,-0.5430506158282098,0.0,0.0,0.0,1.115575337860394,-0.3433214483866685,-1.069844144291484,0.0,0.0,0.0
14,14,-0.9909220929406212,-1.0757885261542637,0.6063801589402864,0.0,0.0,0.0,-1.4215826378343992,0.6966577327069899,-0.026744190149965093,0.0,0.0,0.0
15,15,0.24575292992471534,-1.5514435524678873,0.1989292471676041,0.0,0.0,0.0,1.18931609886478,-0.10077297551094559,1.040344399142496,0.0,0.0,0.0
16,16,-0.9882189860821377,-1.167130966617288,-0.41008899857130643,0.0,0.0,0.0,-0.11060178295064355,0.07626416876024342,-1.5776233601880005,0.0,0.0,0.0
17,17,-0.4119722053488391,-1.2046022340152391,0.9413590198563665,0.0,0.0,0.0,-0.7868582339056056,0.651493659016508,1.2096919345170754,0.0,0.0,0.0
18,18,0.0333390629408257,-1.5124344730473727,-0.4673060197125363,0.0,0.0,0.0,1.520911528829098,-0.3323731588557481,-0.2886185184398568,0.0,0.0,0.0
